budget_line_id,project_id,cost_category,original_budget_amount,approved_budget_change,revised_budget_amount
BUD-P070-07,P070,Other,24100,819.51,24919.51
BUD-P071-01,P071,Labor,140140,6328.68,146468.68
BUD-P071-02,P071,Materials,178360,6983.37,185343.37
BUD-P071-03,P071,Subcontractors,197470,5892.22,203362.22
BUD-P071-04,P071,Equipment,25480,654.69,26134.69
BUD-P071-05,P071,Permits & Fees,38220,436.46,38656.46
BUD-P071-06,P071,General conditions,44590,1091.15,45681.15
BUD-P071-07,P071,Other,12740,436.47,13176.47
BUD-P072-01,P072,Labor,198374,40918.3,239292.3
BUD-P072-02,P072,Materials,252476,45151.22,297627.22
BUD-P072-03,P072,Subcontractors,279527,38096.34,317623.34
BUD-P072-04,P072,Equipment,36068,4232.93,40300.93
BUD-P072-05,P072,Permits & Fees,54102,2821.95,56923.95
BUD-P072-06,P072,General Conditions,63119,7054.88,70173.88
BUD-P072-07,P072,Other,18034,2821.95,20855.95
BUD-P073-01,P073,Labor,490438,0,490438
BUD-P073-02,P073,Materials,547027,0,547027
BUD-P073-03,P073,Subcontractors,509301,0,509301
BUD-P073-04,P073,Equipment,94315,0,94315
BUD-P073-05,P073,Permits & Fees,56589,0,56589
BUD-P073-06,P073,General Conditions,132041,0,132041
BUD-P073-07,P073,Other,56589,0,56589
BUD-P074-01,P074,Labor,324875,0,324875
BUD-P074-02,P074,Materials,311880,0,311880
BUD-P074-03,P074,Subcontractors,402845,0,402845
BUD-P074-04,P074,Equipment,64975,0,64975
BUD-P074-05,P074,Permits & Fees,51980,0,51980
BUD-P074-06,P074,General Conditions,103960,0,103960
BUD-P074-07,P074,Other,38985,0,38985
BUD-P075-01,P075,Labor,542516,0,542516
BUD-P075-02,P075,Materials,605114,0,605114
BUD-P075-03,P075,Subcontractors,563382,0,563382
BUD-P075-04,P075,Equipment,104330,0,104330
BUD-P075-05,P075,Permits & Fees,62598,0,62598
BUD-P075-06,P075,General Conditions,146062,0,146062
BUD-P075-07,P075,Other,62598,0,62598
BUD-P076-01,P076,Labor,261225,15236.75,276461.75
BUD-P076-02,P076,Materials,250776,16812.97,267588.97
BUD-P076-03,P076,Subcontractors,323919,14185.94,338104.94
BUD-P076-04,P076,Equipment,52245,1576.22,53821.22
BUD-P076-05,P076,Permits & Fees,41796,1050.81,42846.81
BUD-P076-06,P076,General Conditions,83592,2627.03,86219.03
BUD-P076-07,P076,Other,31347,1050.8,32397.8
BUD-P077-01,P077,Labor,228650,-5119.7,223530.3
BUD-P077-02,P077,Materials,219504,-5649.32,213854.68
BUD-P077-03,P077,Subcontractors,283526,-4766.62,278759.38
BUD-P077-04,P077,Equipment,45730,-529.62,45200.38
BUD-P077-05,P077,Permits & Fees,36584,-353.08,36230.92
BUD-P077-06,P077,General Conditions,73168,-882.71,72285.29
BUD-P077-07,P077,Other,27438,-353.09,27084.91
BUD-P078-01,P078,Labor,317096,7365.84,324461.84
BUD-P078-02,P078,Materials,353684,8127.82,361811.82
BUD-P078-03,P078,Subcontractors,329292,6857.85,336149.85
BUD-P078-04,P078,Equipment,60980,761.98,61741.98
BUD-P078-05,P078,Permits & Fees,36588,507.99,37095.99
BUD-P078-06,P078,General Conditions,85372,1269.97,86641.97
BUD-P078-07,P078,Other,36588,508,37096
BUD-P079-01,P079,Labor,319200,0,319200
BUD-P079-02,P079,Materials,306432,0,306432
BUD-P079-03,P079,Subcontractors,395808,0,395808
BUD-P079-04,P079,Equipment,63840,0,63840
BUD-P079-05,P079,Permits & Fees,51072,0,51072
BUD-P079-06,P079,General Conditions,102144,0,102144
BUD-P079-07,P079,Other,38304,0,38304
BUD-P080-01,P080,Labor,117882,0,117882
BUD-P080-02,P080,Materials,109150,0,109150
BUD-P080-03,P080,Subcontractors,122248,0,122248
BUD-P080-04,P080,Equipment,17464,0,17464
BUD-P080-05,P080,Permits & Fees,17464,0,17464
BUD-P080-06,P080,General Conditions,39294,0,39294
BUD-P080-07,P080,Other,13098,0,13098
BUD-P081-01,P081,Labor,189125,0,189125
BUD-P081-02,P081,Materials,181560,0,181560
BUD-P081-03,P081,Subcontractors,234515,0,234515
BUD-P081-04,P081,Equipment,37825,0,37825
BUD-P081-05,P081,Permits & Fees,30260,0,30260
BUD-P081-06,P081,General Conditions,60520,0,60520
BUD-P081-07,P081,Other,22695,0,22695
BUD-P082-01,P082,Labor,459885,17915.95,477800.95
BUD-P082-02,P082,Materials,474720,19769.32,494489.32
BUD-P082-03,P082,Subcontractors,296700,16680.37,313380.37
BUD-P082-04,P082,Equipment,59340,1853.37,61193.37
BUD-P082-05,P082,Permits & Fees,44505,1235.58,45740.58
BUD-P082-06,P082,General Conditions,103845,3088.96,106933.96
BUD-P082-07,P082,Other,44505,1235.59,45740.59
BUD-P083-01,P083,Labor,278750,0,278750
BUD-P083-02,P083,Materials,267600,0,267600
BUD-P083-03,P083,Subcontractors,345650,0,345650
BUD-P083-04,P083,Equipment,55750,0,55750
BUD-P083-05,P083,Permits & Fees,44600,0,44600
BUD-P083-06,P083,General Conditions,89200,0,89200
BUD-P083-07,P083,Other,33450,0,33450
BUD-P084-01,P084,Labor,238550,0,238550
BUD-P084-02,P084,Materials,266075,0,266075
BUD-P084-03,P084,Subcontractors,247725,0,247725
BUD-P084-04,P084,Equipment,45875,0,45875
BUD-P084-05,P084,Permits & Fees,27525,0,27525
BUD-P084-06,P084,General Conditions,64225,0,64225
BUD-P084-07,P084,Other,27525,0,27525
BUD-P085-01,P085,Labor,230698,3754.75,234452.75
BUD-P085-02,P085,Materials,257317,4143.18,261460.18
BUD-P085-03,P085,Subcontractors,239571,3495.81,243066.81
BUD-P085-04,P085,Equipment,44365,388.42,44753.42
BUD-P085-05,P085,Permits & Fees,26619,258.95,26877.95
BUD-P085-06,P085,General Conditions,62111,647.37,62758.37
BUD-P085-07,P085,Other,26619,258.95,26877.95
BUD-P086-01,P086,Labor,108513,0,108513
BUD-P086-02,P086,Materials,100475,0,100475
BUD-P086-03,P086,Subcontractors,112532,0,112532
BUD-P086-04,P086,Equipment,16076,0,16076
BUD-P086-05,P086,Permits & Fees,16076,0,16076
BUD-P086-06,P086,General Conditions,36171,0,36171
BUD-P086-07,P086,Other,12057,0,12057
BUD-P087-01,P087,Labor,602654,6804.16,609458.16
BUD-P087-02,P087,Materials,672191,7508.04,679699.04
BUD-P087-03,P087,Subcontractors,625833,6334.91,632167.91
BUD-P087-04,P087,Equipment,115895,703.88,116598.88
BUD-P087-05,P087,Permits & Fees,69537,469.25,70006.25
BUD-P087-06,P087,General Conditions,162253,1173.13,163426.13
BUD-P087-07,P087,Other,69537,469.26,70006.26
BUD-P088-01,P088,Labor,174900,1042.45,175942.45
BUD-P088-02,P088,Materials,167904,1150.29,169054.29
BUD-P088-03,P088,Subcontractors,216876,970.56,217846.56
BUD-P088-04,P088,Equipment,34980,107.84,35087.84
BUD-P088-05,P088,Permits & Fees,27984,71.89,28055.89
BUD-P088-06,P088,General Conditions,55968,179.73,56147.73
BUD-P088-07,P088,Other,20988,71.89,21059.89
BUD-P089-01,P089,Labor,254462,0,254462
BUD-P089-02,P089,Materials,283823,0,283823
BUD-P089-03,P089,Subcontractors,264249,0,264249
BUD-P089-04,P089,Equipment,48935,0,48935
BUD-P089-05,P089,Permits & Fees,29361,0,29361
BUD-P089-06,P089,General Conditions,68509,0,68509
BUD-P089-07,P089,Other,29361,0,29361
BUD-P090-01,P090,Labor,231504,13211.61,244715.61
BUD-P090-02,P090,Materials,258216,14578.33,272794.33
BUD-P090-03,P090,Subcontractors,240408,12300.47,252708.47
BUD-P090-04,P090,Equipment,44520,1366.72,45886.72
BUD-P090-05,P090,Permits & Fees,26712,911.15,27623.15
BUD-P090-06,P090,General Conditions,62328,2277.86,64605.86
BUD-P090-07,P090,Other,26712,911.14,27623.14
BUD-P091-01,P091,Labor,436375,30394.42,466769.42
BUD-P091-02,P091,Materials,418920,33538.67,452458.67
BUD-P091-03,P091,Subcontractors,541105,28298.25,569403.25
BUD-P091-04,P091,Equipment,87275,3144.25,90419.25
BUD-P091-05,P091,Permits & Fees,69820,2096.17,71916.17
BUD-P091-06,P091,General Conditions,139640,5240.42,144880.42
BUD-P091-07,P091,Other,52365,2096.15,54461.15
BUD-P092-01,P092,Labor,200275,4256.46,204531.46
BUD-P092-02,P092,Materials,192264,4696.79,196960.79
BUD-P092-03,P092,Subcontractors,248341,3962.91,252303.91
BUD-P092-04,P092,Equipment,40055,440.32,40495.32
BUD-P092-05,P092,Permits & Fees,32044,293.55,32337.55
BUD-P092-06,P092,General Conditions,64088,733.87,64821.87
BUD-P092-07,P092,Other,24033,293.56,24326.56
BUD-P093-01,P093,Labor,639054,0,639054
BUD-P093-02,P093,Materials,712791,0,712791
BUD-P093-03,P093,Subcontractors,663633,0,663633
BUD-P093-04,P093,Equipment,122895,0,122895
BUD-P093-05,P093,Permits & Fees,73737,0,73737
BUD-P093-06,P093,General Conditions,172053,0,172053
BUD-P093-07,P093,Other,73737,0,73737
BUD-P094-01,P094,Labor,387640,36810.05,424450.05
BUD-P094-02,P094,Materials,493360,40617.98,533977.98
BUD-P094-03,P094,Subcontractors,546220,34271.42,580491.42
BUD-P094-04,P094,Equipment,70480,3807.94,74287.94
BUD-P094-05,P094,Permits & Fees,105720,2538.62,108258.62
BUD-P094-06,P094,General Conditions,123340,6346.56,129686.56
BUD-P094-07,P094,Other,35240,2538.63,37778.63
BUD-P095-01,P095,Labor,143100,0,143100
BUD-P095-02,P095,Materials,132500,0,132500
BUD-P095-03,P095,Subcontractors,148400,0,148400
BUD-P095-04,P095,Equipment,21200,0,21200
BUD-P095-05,P095,Permits & Fees,21200,0,21200
BUD-P095-06,P095,General Conditions,47700,0,47700
BUD-P095-07,P095,Other,15900,0,15900
BUD-P096-01,P096,Labor,485562,0,485562
BUD-P096-02,P096,Materials,617988,0,617988
BUD-P096-03,P096,Subcontractors,684201,0,684201
BUD-P096-04,P096,Equipment,88284,0,88284
BUD-P096-05,P096,Permits & Fees,132426,0,132426
BUD-P096-06,P096,General Conditions,154497,0,154497
BUD-P096-07,P096,Other,44142,0,44142
BUD-P031-01,P031,Labor,132750,0,132750
BUD-P997-01,P997,Labor,42000,0,42000
